"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"Sangsin Brake Price List For Brake Disc Pad","","","","","","","","",""
"Sl.No","PART NO","CAR MAKE","CAR MODEL","WHEEL","USD PRICE","","","",""
"","","","","","","","","",""
"1","SP4073","M&M","SCORPIO M HAWK /VLX","FRONT","11.63","","","",""
"2","SP4074","M&M","XYLO / BOLERO VLX / TUV300","FRONT","9.95","","","",""
"3","SP1172","HMI","i10 /i20 PET","FRONT","6.59","","","",""
"4","SP1719","HMI","GRAND i10 / XCENT","FRONT","7.92","","","",""
"5","SP1149","HMI","SANTRO XING","FRONT","4.90","","","",""
"6","SP1186","HMI","i20 DSL / VERNA","FRONT","8.39","","","",""
"7","SP1047","HMI","ACCENT /GETZ","FRONT","5.63","","","",""
"8","SP1399","HMI","FLUDIC VERNA / i20 ELITE","FRONT","8.46","","","",""
"9","SP2086","MSIL","SWIFT /DZEIR / RITZ","FRONT","6.56","","","",""
"10","SP1592","MSIL","ALTO /WAGON R / ESTILO ZEN","FRONT","3.89","","","",""
"11","SP2113","MSIL","ERTIGA","FRONT","8.30","","","",""
"12","SP2009","TATA","ACE / INDICA","FRONT","4.53","","","",""
"13","SP4214","HMI","EON","FRONT","6.14","","","",""
"14","SP4218","TML","INDICA VISTA DSL / INDIGO MANZA / AL DOST / SUPER ACE","FRONT","6.89","","","",""
"15","SP1412","TKML","INNOVA","FRONT","7.28","","","",""
"16","SP4217","TKML","ETIOS / LIVA","FRONT","8.14","","","",""
"17","SP4216","NISSAN","MICRA / SUNNY / DUSTER","FRONT","8.27","","","",""
"18","SP4215","TML","SUMO / BOLERO OLD /TML207","FRONT","6.22","","","",""
"19","SP4274","HMI","VERNA REAR","REAR","6.29","","","",""
"20","SP4272","M&M","QUANTO/ S2 /MARAZZO/ HARRIER / NOVA SPORTS/ XUV300","FRONT","9.11","","","",""
"21","SP4273","M&M","KUV100","FRONT","7.46","","","",""
"22","SP4249","MSIL","EECO/VERSA/A-STAR/CELERIO","FRONT","6.22","","","",""
"23","SP4247","MSIL","SX4/S-CROSS/BREZZA","FRONT","9.34","","","",""
"24","SP4248","TML","VISTA PET /INDICA EV2","FRONT","6.35","","","",""
"25","SP4246","RENAULT","KWID","FRONT","6.44","","","",""
"26","SP4250","HONDA","CITY - V / MOBILIO / JAAZ","FRONT","7.97","","","",""
"27","SP4287","HMI","CRETA","FRONT","9.87","","","",""
"28","SP4288","MSIL","BALENO / NEW DZIRE","FRONT","8.23","","","",""
"29","SP4293","MSIL","800CC","FRONT","4.50","","","",""
"30","SP4294","TML","BOLT/ZEST","FRONT","9.22","","","",""
"31","SP4299","HONDA","CITY I, II & III","FRONT","7.99","","","",""
"32","SP4290","M&M","MAXXIMO","FRONT","6.24","","","",""
"33","SP4291","M&M","XUV500","FRONT","15.29","","","",""
"34","SP4292","M&M","XUV500 / MARAZZO","REAR","6.03","","","",""
"35","SP1565","FORD","FIGO ABS/FIESTA T1 (2005-11) /FUSION","FRONT","10.08","","","",""
"36","SP4324","TML","TIAGO /TIGOR","FRONT","7.81","","","",""
"37","SP1722","TML","INDIGO TDI","FRONT","7.06","","","",""
"38","SP4253","TML","ARIA /HEXA/ SAFARI  DICOR","FRONT","11.81","","","",""
"39","SP2186","TML","ARIA /HEXA/ SAFARI  DICOR","REAR","6.73","","","",""
"40","SP2007","CHEVROLET","ENJOY","FRONT","10.33","","","",""
"41","SP1158","CHEVROLET","AVEO/BEAT","FRONT","8.69","","","",""
"42","SP2010","CHEVROLET","TAVERA","FRONT","7.41","","","",""
"43","SP4297","M&M","SCORPIO S11","FRONT","15.74","","","",""
"44","SP1243","M&M","LOGAN/ VERITO","FRONT","7.00","","","",""
"45","SP4333","MSIL","IGNIS","FRONT","7.17","","","",""
"46","SP4264","TKML","INNOVA CRYSTA","FRONT","9.05","","","",""
"47","-","FORD","   IKON / FIGO ","FRONT","Under Development 
Launching in Sept'20","","","",""
"48","-","HMI","   FLUDIC VERNA ","REAR","","","","",""
"49","-","HONDA","   BRIO/ AMAZE/ CITY4","FRONT","","","","",""
"50","-","FORD","   ECOSPORTS","FRONT","","","","",""
"51","-","TKML","   FORTUNER T1","FRONT","","","","",""
"52","-","VOLKS WAGEN","   VENTO/ FABIA/ RAPID/ POLO","FRONT","","","","",""
"","","","","","","","","",""
"Sangsin Brake Price List(Brake Shoe Assy)","","","","","","","","",""
"Sl.No","PART NO","CAR MAKE","CAR MODEL","WHEEL","USD PRICE","","","",""
"","","","","","","","","",""
"1","SA196","HMI","i10 / Getz","REAR","5.50","","","",""
"2","SA197","HMI","GRAND i10 / XCENT","REAR","6.84","","","",""
"3","SA198","HMI","i20 / Verna","REAR","6.62","","","",""
"4","SA199","HMI","SANTRO XING","REAR","5.39","","","",""
"5","SA200T","Maruti","800 CC  TVS Type","REAR","4.41","","","",""
"6","SA200K","Maruti","800 CC  KBX Type","REAR","4.52","","","",""
"7","SA201","Maruti","SWIFT /DZEIR / RITZ","REAR","5.45","","","",""
